Model,Kernel,CV_Score,Test_Accuracy,Precision,Recall,F1_Score,Train_Time
SVM (Linear),linear,0.2416666666666667,0.2413793103448276,0.05826397146254459,0.2413793103448276,0.09386973180076628,5.307122707366943
SVM (RBF),rbf,0.25,0.2413793103448276,0.0603448275862069,0.2413793103448276,0.09655172413793105,0.29837560653686523
SVM (Polynomial),poly,0.27644927536231884,0.2413793103448276,0.12413793103448276,0.2413793103448276,0.1486590038314176,0.44985437393188477
SVM (Sigmoid),sigmoid,0.2594202898550725,0.3103448275862069,0.24827586206896549,0.3103448275862069,0.2750220255291249,0.3467411994934082
