Model,Test_Accuracy,Precision,Recall,F1_Score,Train_Time
K-Nearest Neighbors (KNN),0.81,0.8229,0.81,0.8068,0.0006
Artificial Neural Network (ANN),0.76,0.776,0.76,0.7536,0.0536
SVM (Sigmoid),0.3103448275862069,0.24827586206896549,0.3103448275862069,0.2750220255291249,0.2939333915710449
SVM (Linear),0.2413793103448276,0.05826397146254459,0.2413793103448276,0.09386973180076628,5.444688558578491
SVM (RBF),0.2413793103448276,0.0603448275862069,0.2413793103448276,0.09655172413793105,0.3435220718383789
SVM (Polynomial),0.2413793103448276,0.12413793103448276,0.2413793103448276,0.1486590038314176,0.44913220405578613
Random Forest,,0.2576,0.2759,,
